type,seconds,round,name,t,c,z,y,x
TIFF,3.1090126000000002,19,XY-1920-Z-259-C-4-T-1-XC-256,1,4,171,1,1
TIFF,6.8263007,20,XY-1920-Z-259-C-4-T-1-XC-256,1,2,224,1,3
TIFF,0.71781586,21,XY-1920-Z-259-C-4-T-1-XC-256,1,1,42,7,5
TIFF,9.60192393,22,XY-1920-Z-259-C-4-T-1-XC-256,1,3,220,7,3
TIFF,5.81802468,23,XY-1920-Z-259-C-4-T-1-XC-256,1,2,169,3,5
TIFF,9.455252400000001,24,XY-1920-Z-259-C-4-T-1-XC-256,1,3,183,4,6
TIFF,4.91228213,25,XY-1920-Z-259-C-4-T-1-XC-256,1,2,85,7,6
TIFF,6.7472616,26,XY-1920-Z-259-C-4-T-1-XC-256,1,2,223,5,7
TIFF,9.91873561,27,XY-1920-Z-259-C-4-T-1-XC-256,1,3,177,6,4
TIFF,3.67487047,28,XY-1920-Z-259-C-4-T-1-XC-256,1,4,206,5,5
TIFF,2.47908863,29,XY-1920-Z-259-C-4-T-1-XC-256,1,4,128,4,1
TIFF,0.8087836700000001,30,XY-1920-Z-259-C-4-T-1-XC-256,1,1,45,1,3
TIFF,6.50712343,31,XY-1920-Z-259-C-4-T-1-XC-256,1,2,194,1,2
TIFF,0.5519808900000001,32,XY-1920-Z-259-C-4-T-1-XC-256,1,1,27,6,3
TIFF,9.581287080000001,33,XY-1920-Z-259-C-4-T-1-XC-256,1,3,173,5,1
TIFF,4.4687579,34,XY-1920-Z-259-C-4-T-1-XC-256,1,2,51,5,5
TIFF,6.4969209900000005,35,XY-1920-Z-259-C-4-T-1-XC-256,1,2,202,1,3
TIFF,5.43614257,36,XY-1920-Z-259-C-4-T-1-XC-256,1,2,136,3,7
TIFF,7.92175169,37,XY-1920-Z-259-C-4-T-1-XC-256,1,3,54,5,4
TIFF,2.33145926,38,XY-1920-Z-259-C-4-T-1-XC-256,1,1,160,4,7
TIFF,0.23227652000000001,39,XY-1920-Z-259-C-4-T-1-XC-256,1,1,7,5,7
TIFF,3.6828858600000003,40,XY-1920-Z-259-C-4-T-1-XC-256,1,2,1,2,3
TIFF,8.93703734,41,XY-1920-Z-259-C-4-T-1-XC-256,1,3,127,1,2
TIFF,2.85858854,42,XY-1920-Z-259-C-4-T-1-XC-256,1,1,193,2,1
TIFF,8.21354925,43,XY-1920-Z-259-C-4-T-1-XC-256,1,3,72,1,7
TIFF,0.43400626000000003,44,XY-1920-Z-259-C-4-T-1-XC-256,1,3,246,1,1
TIFF,1.4803305900000001,45,XY-1920-Z-259-C-4-T-1-XC-256,1,4,47,7,4
