type,seconds,round,name,t,c,z,y,x
Zarr,0.02424101,61,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,4
Zarr,0.01272929,62,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,4,1
Zarr,0.01078668,63,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,1
Zarr,0.01805736,64,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,2
Zarr,0.01412319,65,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,3
Zarr,0.01094384,66,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,2
Zarr,0.01390443,67,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,1
Zarr,0.01241891,68,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,1
Zarr,0.01325331,69,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,2
Zarr,0.013432310000000001,70,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,6,1
Zarr,0.012353330000000001,71,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,5,6
Zarr,0.01119566,72,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,1
Zarr,0.01156344,73,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,5,2
Zarr,0.01151477,74,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,3
Zarr,0.01129257,75,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,6
Zarr,0.01186245,76,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,2,4
Zarr,0.02197696,77,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,3,1
Zarr,0.01171812,78,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,3
Zarr,0.012644820000000001,79,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,4
Zarr,0.0129339,80,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,4
Zarr,0.01313864,81,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,4
Zarr,0.01285323,82,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,5
Zarr,0.01212892,83,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,7
Zarr,0.01239657,84,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,7
Zarr,0.0126634,85,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,7
Zarr,0.01130998,86,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,3,2
Zarr,0.0115124,87,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,5
Zarr,0.01795955,88,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,6
Zarr,0.01635656,89,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,5
Zarr,0.01184834,90,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,4,7
Zarr,0.01565165,91,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,7
Zarr,0.014591950000000001,92,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,2
Zarr,0.00996472,93,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,5
Zarr,0.01116382,94,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,6
Zarr,0.021538210000000002,95,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,3
Zarr,0.01188942,96,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,1,5
Zarr,0.01181656,97,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,5,1
Zarr,0.011675050000000001,98,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,5
Zarr,0.01231569,99,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,7
TIFF,0.17313520000000002,0,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,3,2
TIFF,0.09426978,1,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,5,6
TIFF,0.10458338,2,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,6
TIFF,0.12567835,3,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,4,6
TIFF,0.13693214,4,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,2,6
TIFF,0.05027485,5,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,1,5
TIFF,0.09883034,6,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,4
TIFF,0.08653954,7,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,2
TIFF,0.09364726,8,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,1,4
TIFF,0.08795684000000001,9,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,3,1
TIFF,0.07071212,10,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,5,1
TIFF,0.08015565,11,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,7,4
TIFF,0.09645508,12,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,6,6
TIFF,0.06431777,13,XY-1920-Z-1-C-4-T-1-XC-256,1,1,1,6,3
TIFF,0.1006175,14,XY-1920-Z-1-C-4-T-1-XC-256,1,4,1,7,7
TIFF,0.11197454,15,XY-1920-Z-1-C-4-T-1-XC-256,1,3,1,6,6
TIFF,0.08910051000000001,16,XY-1920-Z-1-C-4-T-1-XC-256,1,2,1,2,5
